Token, Count
twenty,762
one,612
says,586
new,585
uk,562
manchester,537
food,494
city,493
world,486
league,481
recipe,477
climate,471
united,413
football,399
cup,387
review,379
two,374
david,373
v,371
labour,366
change,337
may,320
england,307
restaurant,303
cameron,300
happened,299
could,298
video,298
make,295
ten,290
diary,290
london,285
match,285
five,284
chelsea,281
brexit,281
best,279
liverpool,276
report,274
pounds,264
premier,262
country,261
us,260
britain,259
arsenal,253
recipes,244
green,235
west,219
eu,214
four,212
year,211
three,209
mp,208
government,205
back,200
week,199
zero,199
million,196
energy,190
life,188
must,188
deal,186
transfer,183
top,183
hundred,182
christmas,180
pictures,179
time,174
letters,170
tottenham,167
british,164
real,162
say,161
good,160
first,160
wine,160
win,159
tax,154
power,154
get,152
oil,152
tory,149
twelve,148
six,143
great,142
party,142
big,141
final,137
plan,137
live,136
set,136
perfect,135
cuts,134
newcastle,133
day,132
people,131
point,130
go,129
need,128
right,128
guardian,126
cook,126
everton,124
ban,124
crisis,123
free,120
politics,119
madrid,118
family,118
like,118
view,118
would,118
ham,117
home,117
rumours,115
fa,115
trump,114
champions,114
water,114
election,113
eat,113
still,113
vote,111
nuclear,111
thousand,111
take,110
preview,110
future,110
rise,109
euro,108
tories,108
way,107
corbyn,106
ed,106
squad,106
public,103
years,103
global,102
face,102
save,101
call,100
women,100
man,100
miliband,99
readers,98
last,98
summer,97
study,96
plans,96
season,95
fight,95
theresa,95
mourinho,95
talks,93
nhs,93
sixteen,93
wildlife,93
air,93
george,93
end,92
scottish,92
news,92
europe,91
help,91
old,91
warns,91
jeremy,90
fish,90
cut,90
made,90
minister,89
industry,89
wines,89
policy,88
game,88
eight,88
kitchen,88
stop,88
jose,88
move,87
pay,87
national,87
calls,87
bid,87
tv,87
north,87
osborne,87
waste,86
police,86
carbon,86
show,86
sign,85
action,85
fifty,85
inquiry,85
john,85
wenger,84
scotland,84
test,84
fans,84
science,84
drink,83
australia,83
nineteen,82
palace,82
eighteen,81
war,81
team,81
weekend,80
give,80
health,80
boris,80
crystal,80
high,80
bar,80
hugh,79
chicken,79
work,79
budget,79
seven,79
obituary,79
let,79
things,78
battle,78
pollution,78
restaurants,78
barcelona,78
political,78
bill,77
billion,77
want,76
fracking,76
villa,76
ice,76
sheets,76
turn,76
children,76
arsene,75
claims,75
sunderland,75
shows,75
threat,75
next,74
south,74
johnson,73
support,73
record,73
return,73
players,73
taste,72
faces,72
finds,72
campaign,72
aston,71
swap,71
chief,71
blair,71
business,71
seventeen,70
meat,70
leicester,70
thirty,70
risk,70
long,69
english,69
guide,68
keep,68
play,68
manager,68
gas,68
hit,68
sea,68
coalition,68
european,67
key,67
nature,67
club,67
scientists,67
needs,67
use,66
questions,66
percent,66
salad,66
house,65
tony,65
vertical,65
fifteen,64
southampton,64
fourteen,64
alex,64
price,63
beer,63
red,63
round,62
chocolate,62
much,62
fifa,62
despite,62
makes,62
really,61
eating,61
ireland,61
workers,61
china,61
paris,61
money,61
forest,61
leaders,60
lead,60
coffee,60
swansea,60
bp,59
far,59
ever,59
flood,59
van,59
hotspur,59
gets,59
hunt,59
solar,59
rules,59
street,59
race,58
history,58
leave,58
syria,58
love,58
buy,57
ukip,57
bbc,57
french,57
ready,57
never,57
park,57
michael,57
fears,57
james,56
plastic,56
put,56
emissions,56
job,56
low,56
row,56
forty,56
clegg,56
mark,56
cake,56
hope,56
strike,56
open,56
environment,55
economic,55
housing,55
france,55
former,55
rangers,55
obama,55
left,55
coal,54
second,54
legal,54
better,54
debate,54
court,54
spain,53
car,53
ahead,53
social,53
wrong,53
head,53
quiz,53
italy,53
without,53
takes,53
black,53
meal,53
stay,52
learned,52
nine,52
beat,52
cocktail,52
school,52
draw,52
local,52
weekly,52
rooney,52
look,52
clean,52
cost,52
accused,52
america,52
place,51
referendum,51
leader,51
cooking,51
scandal,51
cream,51
nick,51
weather,51
behind,51
thomasina,50
miers,50
group,50
urges,50
goal,50
hopes,50
white,50
state,50
know,50
economy,49
lost,49
making,49
night,49
ministers,49
anti,49
australian,49
death,49
dollars,49
steve,49
rachel,49
roundup,48
points,48
sector,48
cheese,48
jones,48
welfare,48
goes,48
brazil,48
protest,48
spending,48
secret,48
see,48
tells,48
part,48
jack,48
thirteen,48
rights,48
northern,48
run,48
going,47
lib,47
little,47
wild,47
close,47
farmers,47
light,47
stoke,47
pressure,47
hits,47
species,47
conference,47
council,47
attack,47
environmental,47
schools,47
full,46
warming,46
york,46
meet,46
human,46
reveals,46
un,46
step,46
vegan,46
plus,46
harry,45
poor,45
heart,45
defeat,45
town,45
around,45
fire,45
gareth,45
russia,45
worst,45
eleven,45
revolution,45
funding,45
africa,45
plant,45
project,44
market,44
join,44
reform,44
fulham,44
bad,44
post,44
young,44
leeds,43
mls,43
companies,43
biggest,43
offer,43
defence,43
admits,43
jamie,43
chef,43
wayne,43
land,43
wants,43
another,43
style,43
hard,43
warn,43
late,43
gives,43
sir,43
experts,42
spill,42
paul,42
victory,42
target,42
role,42
spurs,42
reef,42
find,42
de,42
system,42
start,42
roy,42
fruit,42
leaves,42
sam,42
security,42
fuel,42
roddy,42
union,41
list,41
japan,41
cash,41
cars,41
injury,41
klopp,41
goals,41
case,41
east,41
international,41
loan,41
chris,41
floods,40
fear,40
challenge,40
letter,40
muir,40
seventy,40
leadership,40
title,40
friendly,40
times,40
fossil,40
dinner,40
amid,40
championship,39
share,39
away,39
anna,39
burnley,39
arctic,39
ninety,39
kids,39
breakfast,39
albion,39
roberto,39
tackle,39
brendan,39
come,39
hot,39
earth,39
living,39
martin,39
ferguson,39
bank,39
break,39
spring,39
fearnley,38
whittingstall,38
immigration,38
capital,38
activists,38
law,38
alan,38
guardiola,38
road,38
story,38
bayern,38
days,38
bring,38
care,38
india,38
winter,38
talking,37
told,37
past,37
research,37
scheme,37
barrier,37
egg,37
watford,37
iraq,37
men,37
lord,37
defends,37
sustainable,37
renewable,37
risks,37
germany,37
prices,37
fast,37
games,37
well,36
bournemouth,36
wales,36
hinkley,36
electric,36
pm,36
farm,36
boost,36
la,36
politicians,36
sales,36
hull,36
u,36
firm,36
andy,36
bromwich,36
blue,36
puts,36
even,36
ask,36
rodgers,36
celtic,36
derby,36
star,35
planet,35
gove,35
laws,35
atletico,35
poll,35
growth,35
clubs,35
jurgen,35
act,35
less,35
secretary,35
campaigners,35
trust,35
changes,35
nigel,35
threatens,35
california,35
firms,35
eco,35
third,35
media,35
benefit,35
general,35
fresh,35
data,34
culture,34
easter,34
oliver,34
sixty,34
praise,34
travel,34
brown,34
groups,34
sale,34
trade,34
attacks,34
eighty,34
thatcher,34
birmingham,34
soup,34
co,34
hodgson,34
think,34
olympic,34
disaster,34
banks,34
press,33
class,33
pie,33
sweet,33
tell,33
investment,33
revealed,33
chance,33
lose,33
smith,33
qpr,33
moyes,33
latest,33
edge,33
protect,33
claim,33
vegetarian,33
drought,33
fourth,33
costs,32
working,32
line,32
become,32
chefs,32
autumn,32
backs,32
got,32
homes,32
every,32
aid,32
ideas,32
independence,32
allardyce,32
across,32
golden,32
service,32
likely,32
chinese,32
favourite,32
lack,32
angela,32
signing,32
italian,31
summit,31
problem,31
tom,31
ken,31
island,31
charles,31
flooding,31
grow,31
company,31
supermarket,31
daniel,31
gadgets,31
usa,31
strikes,31
pep,31
focus,31
tips,31
office,31
councils,31
abuse,31
e,31
voters,31
urged,31
royal,31
enough,31
ethical,31
sports,31
cities,31
private,31
peter,30
consider,30
parliament,30
protests,30
podcast,30
easy,30
mayor,30
louis,30
gaal,30
age,30
name,30
thought,30
eggs,30
art,30
since,30
success,30
wood,30
generation,30
gordon,30
nothing,30
dead,30
birds,30
thousands,30
given,30
form,30
sell,30
avoid,30
policies,30
rail,30
heat,30
done,29
rich,29
toxic,29
yet,29
small,29
tea,29
staff,29
rule,29
pardew,29
beef,29
search,29
fail,29
prince,29
special,29
observer,29
welcome,29
jobs,29
due,29
ways,29
leveson,29
targets,29
potato,29
canada,29
push,29
launch,29
storm,29
trees,29
early,29
huddersfield,29
bake,29
pasta,29
pledge,29
farage,29
levels,29
donald,29
coast,28
pudding,28
europa,28
foreign,28
conservative,28
fishing,28
shell,28
tour,28
bale,28
growing,28
benefits,28
books,28
fabio,28
answer,28
question,28
financial,28
forget,28
found,28
munich,28
milk,28
double,28
norwich,28
c,28
king,28
river,28
healthy,28
diet,28
brings,28
education,28
protection,28
impact,28
hand,28
major,28
slow,28
happy,27
kill,27
blame,27
snp,27
cartoon,27
crash,27
extra,27
failure,27
poverty,27
seeks,27
barbecue,27
balotelli,27
demand,27
strategy,27
reforms,27
pizza,27
warning,27
badger,27
interest,27
lake,27
offers,27
brighton,27
joe,27
agree,27
self,27
fukushima,27
semi,27
dems,27
promises,27
hold,27
turkey,27
marine,27
term,27
talk,27
number,27
half,27
brom,27
steven,27
irish,27
mean,26
honours,26
rain,26
gulf,26
yorkshire,26
society,26
player,26
learn,26
dream,26
feel,26
capello,26
millions,26
sport,26
link,26
true,26
natural,26
fort,26
baking,26
middle,26
amazon,26
tim,26
quarter,26
charge,26
cabinet,26
stars,26
today,26
garden,26
months,26
finally,26
awards,26
farming,26
bird,26
dark,26
launches,26
sheffield,26
redknapp,25
cakes,25
edition,25
saving,25
sanchez,25
fall,25
rio,25
visit,25
comes,25
winning,25
olympics,25
services,25
tree,25
near,25
footballers,25
thing,25
alternative,25
nations,25
super,25
bread,25
clear,25
williams,25
sugar,25
blog,25
window,25
austerity,25
andre,25
student,25
wins,25
reading,25
mexico,25
frank,25
giving,25
wind,25
contract,25
pledges,25
simon,25
safety,25
veg,25
curry,24
stand,24
wolves,24
pumpkin,24
getting,24
islands,24
somerset,24
deaths,24
manuel,24
gold,24
table,24
boss,24
antisemitism,24
rare,24
streets,24
critics,24
issues,24
force,24
taking,24
charity,24
feast,24
inside,24
american,24
looks,24
liberal,24
mario,24
powers,24
march,24
remain,24
means,24
forced,24
whale,24
chips,24
terry,24
pork,24
danny,24
blackburn,24
sets,24
hours,24
parks,24
losing,24
wigan,24
numbers,24
stories,24
hands,24
highlights,24
exit,24
increase,24
bolton,23
heathrow,23
w,23
credit,23
cancer,23
access,23
pubs,23
president,23
dangerous,23
stadium,23
leads,23
gary,23
chilcot,23
raises,23
short,23
milan,23
lunch,23
approach,23
side,23
apple,23
banned,23
returns,23
protesters,23
signs,23
scott,23
conservation,23
watch,23
ground,23
robin,23
southgate,23
needed,23
killing,23
refuses,23
meera,23
sodha,23
speech,23
seek,23
victims,23
nation,23
reveal,23
leaving,23
build,23
gm,23
rubbish,23
threaten,23
among,23
holiday,23
extreme,23
message,22
thirtieth,22
mr,22
drinking,22
garlic,22
pellegrini,22
survey,22
vows,22
legacy,22
control,22
issue,22
costa,22
spanish,22
el,22
hammond,22
sturridge,22
ben,22
indian,22
westminster,22
blatter,22
cycling,22
ginger,22
turns,22
drinks,22
families,22
different,22
tesco,22
juventus,22
bee,22
playing,22
penalty,22
trip,22
twitter,22
failing,22
rice,22
january,22
front,22
loss,22
simple,21
breaking,21
anger,21
pochettino,21
striker,21
baby,21
county,21
forests,21
helps,21
fit,21
places,21
century,21
duncan,21
sergio,21
bottle,21
planning,21
largest,21
lion,21
fuels,21
might,21
fund,21
mining,21
investigation,21
criticises,21
dishes,21
bars,21
cheap,21
rock,21
coming,21
chairman,21
drive,21
spirit,21
benitez,21
hails,21
justice,21
decision,21
hartnett,21
corruption,21
using,21
miss,21
notes,21
fat,21
sky,21
truth,21
field,21
papers,21
wake,20
horizon,20
sparks,20
meals,20
conservatives,20
spot,20
lords,20
treat,20
continues,20
sexual,20
allegations,20
technology,20
countries,20
said,20
beyond,20
adam,20
lessons,20
fee,20
giant,20
longer,20
animal,20
menu,20
watchdog,20
iain,20
falls,20
orders,20
doubt,20
beans,20
sepp,20
add,20
antonio,20
appeal,20
extinction,20
saturday,20
cold,20
foodie,20
sex,20
district,20
thoughts,20
changed,20
joy,20
teams,20
fan,20
suarez,20
linked,20
bills,20
dirty,20
expert,20
cultural,20
greens,20
hunger,20
course,20
balls,20
friday,20
bottles,20
sun,20
rafael,20
career,20
p,20
pub,20
agency,20
solution,20
phil,20
lamb,20
continue,20
halloween,20
ends,20
used,20
secrets,20
warned,20
interview,20
nottingham,20
concerns,20
bean,20
al,20
takeover,20
deals,19
mine,19
khan,19
universal,19
fox,19
worse,19
commons,19
safe,19
space,19
sporting,19
livingstone,19
dem,19
alexis,19
japanese,19
liga,19
renewables,19
culinary,19
endangered,19
bradford,19
rising,19
cull,19
norfolk,19
baked,19
huge,19
response,19
woman,19
progress,19
demands,19
hour,19
dairy,19
leftovers,19
hazard,19
site,19
tests,19
historic,19
coach,19
luis,19
controversial,19
buying,19
channel,19
tough,19
wars,19
failed,19
limit,19
centre,19
together,19
zealand,19
accuses,19
changing,19
seen,19
cables,19
praises,19
minute,19
sees,19
matter,19
non,19
google,19
fighting,19
civil,19
broken,19
leftover,19
bell,19
cardiff,19
rovers,19
quality,19
referee,19
plants,19
drilling,19
byelection,19
tomato,19
deep,19
threatened,19
fine,18
yes,18
queensland,18
fails,18
military,18
prime,18
eyes,18
fun,18
fried,18
something,18
becomes,18
neil,18
confident,18
book,18
foods,18
youth,18
prove,18
racist,18
projects,18
tackling,18
switch,18
urge,18
businesses,18
split,18
modern,18
named,18
cecil,18
movement,18
body,18
carlos,18
official,18
migrant,18
eden,18
wenlock,18
berger,18
wyse,18
rejected,18
carroll,18
terror,18
villas,18
boas,18
watching,18
mancini,18
problems,18
moment,18
vital,18
hurricane,18
supermarkets,18
lemon,18
panic,18
lives,18
station,18
always,18
messi,18
denies,18
population,18
shark,18
middlesbrough,18
standards,18
q,18
month,18
commission,18
salt,18
bruce,18
mcdonald,18
salmon,18
pro,18
duck,18
forces,18
raise,18
pass,18
industrial,18
hate,18
ipcc,18
speed,18
losses,18
korea,18
kevin,18
gin,18
brief,18
craft,18
farms,18
revival,17
sadiq,17
deepwater,17
independent,17
figures,17
welsh,17
sydney,17
aims,17
roast,17
urban,17
plate,17
criticised,17
anyone,17
andrew,17
criticism,17
di,17
doctors,17
rate,17
sterling,17
footballer,17
board,17
opens,17
republic,17
adviser,17
festival,17
ruling,17
comments,17
cross,17
wanderers,17
cafe,17
boy,17
seafood,17
dog,17
ex,17
analysis,17
towards,17
sunday,17
clarke,17
chat,17
gone,17
scientist,17
countryside,17
resist,17
burning,17
finals,17
bag,17
burger,17
vegetable,17
hs,17
migrants,17
athletic,17
shoppers,17
conte,17
killed,17
shale,17
manifesto,17
valley,17
promise,17
weeks,17
everything,17
facing,17
reality,17
fernando,17
single,17
reduce,17
investigate,17
gluten,17
statement,17
try,17
halt,17
raw,17
reject,17
queen,17
officials,17
morgan,17
portugal,17
agenda,17
dining,17
quick,17
caught,16
borussia,16
decline,16
hillsborough,16
mayoral,16
cycle,16
causes,16
ocean,16
improve,16
stage,16
henry,16
coral,16
spend,16
survive,16
within,16
seals,16
information,16
cause,16
daily,16
holland,16
mind,16
missing,16
reach,16
development,16
lee,16
programme,16
grey,16
diego,16
became,16
words,16
taken,16
barack,16
wikileaks,16
picture,16
wonder,16
raheem,16
aguero,16
production,16
pasty,16
absence,16
pensions,16
subsidies,16
expected,16
clockwatch,16
sandy,16
runway,16
saved,16
eye,16
potatoes,16
many,16
pre,16
cable,16
mixed,16
margaret,16
sandwich,16
blackpool,16
organic,16
dan,16
prevent,16
bigger,16
pound,16
rudd,16
track,16
britons,16
believe,16
bristol,16
supporters,16
army,16
persie,16
electricity,16
thanks,16
sense,16
saint,16
era,16
fashion,16
born,16
magic,16
cool,16
illegal,16
israel,16
wave,16
shops,16
salmond,16
mary,16
recycling,16
arms,16
alcohol,16
winner,16
create,16
heatwave,16
bike,16
child,16
expansion,16
rejects,16
higher,16
torres,16
experience,16
ray,16
looking,16
goalkeeper,16
javid,16
sturgeon,16
voice,16
psg,16
trial,16
joins,16
warm,16
dortmund,15
online,15
loses,15
drop,15
sustainability,15
heads,15
migration,15
strong,15
blood,15
nice,15
stephen,15
beautiful,15
idea,15
chilli,15
drug,15
greenpeace,15
mystery,15
fabregas,15
celebrity,15
pipeline,15
recovery,15
steak,15
richard,15
competition,15
eyewitness,15
friends,15
chancellor,15
colombia,15
disease,15
fires,15
wembley,15
prison,15
ferdinand,15
evidence,15
uefa,15
german,15
galloway,15
cafes,15
insists,15
honey,15
standing,15
poland,15
remains,15
orange,15
profit,15
lies,15
nearly,15
confidence,15
pick,15
efforts,15
animals,15
speak,15
candidates,15
beetroot,15
ash,15
fake,15
replace,15
journey,15
tactics,15
crucial,15
delicious,15
possible,15
shot,15
complete,15
mass,15
verdict,15
rest,15
lionel,15
robert,15
driving,15
threats,15
cornwall,15
surge,15
transport,15
boom,15
rises,15
least,15
alleged,15
network,15
tweet,15
polar,15
bacon,15
moves,15
almost,15
cover,15
toast,15
sauce,15
ruby,15
javier,15
following,15
community,15
turned,15
radiation,15
monroe,15
festive,15
apples,15
hotel,15
areas,15
flight,15
dash,15
valencia,14
managers,14
held,14
value,14
ian,14
crab,14
mauricio,14
host,14
mental,14
struggle,14
bridge,14
ancient,14
award,14
michel,14
trouble,14
ad,14
whales,14
harvest,14
champagne,14
debut,14
female,14
unions,14
bin,14
traditional,14
mexican,14
mixer,14
order,14
hundreds,14
st,14
fix,14
affect,14
discovered,14
beach,14
tevez,14
packed,14
murray,14
begins,14
rivers,14
african,14
running,14
escape,14
pain,14
fc,14
affected,14
mum,14
went,14
alexander,14
g,14
heavy,14
labor,14
ronaldo,14
trident,14
committee,14
film,14
allow,14
antarctic,14
sharks,14
claire,14
ptak,14
danger,14
hero,14
kick,14
martinez,14
obesity,14
assault,14
deadly,14
vision,14
americans,14
thanksgiving,14
dad,14
packaging,14
choose,14
ivory,14
tasty,14
embassy,14
melbourne,14
conflict,14
clash,14
glass,14
status,14
hughes,14
angry,14
opposition,14
comment,14
steel,14
fair,14
lift,14
roma,14
serious,14
music,14
unlikely,14
coconut,14
downing,14
vince,14
files,14
moments,14
democracy,14
pitch,14
tart,14
sajid,14
oppose,14
tandoh,14
views,14
phone,14
defend,14
ninth,14
bear,14
tiger,14
forward,14
faith,14
whisky,14
greatest,14
chip,14
income,14
asparagus,14
gay,14
captain,14
rowson,14
building,14
copa,14
spell,14
keeping,14
sold,14
shop,14
chile,13
argentina,13
forgotten,13
eric,13
iceland,13
plays,13
goat,13
activist,13
winners,13
silence,13
scores,13
treatment,13
basil,13
wait,13
warnings,13
block,13
bit,13
confirms,13
patients,13
cesc,13
infrastructure,13
